ID	DOCULECT	CONCEPT	IPA	TOKENS	COGID	ALIGNMENT	STRUCTURE	PATTERNS
1	Chabana	ABOVE_MORPHEME1	ʔ u i	ʔ u i	0	ʔ - u i	c v v	0/n 0/n 0/n 0/n
2	Hateruma	ABOVE_MORPHEME1	ʔ u i	ʔ u i	0	ʔ - u i	c v v	0/n 0/n 0/n 0/n
3	Hateruma	ABOVE_MORPHEME1	ʔ uː	ʔ uː	0	ʔ - uː -	c v	0/n 0/n 0/n 0/n
4	Hentona	ABOVE_MORPHEME1	ʔ u i	ʔ u i	0	ʔ - u i	c v v	0/n 0/n 0/n 0/n
5	Ie	ABOVE_MORPHEME1	ʔ w iː	ʔ w iː	0	ʔ w iː -	c c v	0/n 0/n 0/n 0/n
6	Iheya	ABOVE_MORPHEME1	ʔ w iː	ʔ w iː	0	ʔ w iː -	c c v	0/n 0/n 0/n 0/n
7	Isen	ABOVE_MORPHEME1	ʔ u ɨ	ʔ u ɨ	0	ʔ - u ɨ	c v v	0/n 0/n 0/n 0/n
8	Ishigaki	ABOVE_MORPHEME1	ʔ u i	ʔ u i	0	ʔ - u i	c v v	0/n 0/n 0/n 0/n
9	Ishikawa	ABOVE_MORPHEME1	ʔ w iː	ʔ w iː	0	ʔ w iː -	c c v	0/n 0/n 0/n 0/n
10	Itoman	ABOVE_MORPHEME1	w iː	w iː	0	w - iː -	c v	0/n 0/n 0/n 0/n
11	Izena	ABOVE_MORPHEME1	ʔ w iː	ʔ w iː	0	ʔ w iː -	c c v	0/n 0/n 0/n 0/n
12	Kagoshima	ABOVE_MORPHEME1	u e	u e	0	- - u e	v v	0/n 0/n 0/n 0/n
13	Kametsu	ABOVE_MORPHEME1	ʔ u ɨ	ʔ u ɨ	0	ʔ - u ɨ	c v v	0/n 0/n 0/n 0/n
14	Keraji	ABOVE_MORPHEME1	w iː	w iː	0	w - iː -	c v	0/n 0/n 0/n 0/n
15	Koniya	ABOVE_MORPHEME1	ʔ u ɨ	ʔ u ɨ	0	ʔ - u ɨ	c v v	0/n 0/n 0/n 0/n
16	Koniya	ABOVE_MORPHEME1	ʔ w ɨː	ʔ w ɨː	0	ʔ w ɨː -	c c v	0/n 0/n 0/n 0/n
17	Kudaka	ABOVE_MORPHEME1	ʔ u i	ʔ u i	0	ʔ - u i	c v v	0/n 0/n 0/n 0/n
18	Kuji-Oohama	ABOVE_MORPHEME1	ʔ w ɨː	ʔ w ɨː	0	ʔ w ɨː -	c c v	0/n 0/n 0/n 0/n
19	Kuroshima	ABOVE_MORPHEME1	ʔ u i	ʔ u i	0	ʔ - u i	c v v	0/n 0/n 0/n 0/n
20	Kushi	ABOVE_MORPHEME1	ʔ u ɨ	ʔ u ɨ	0	ʔ - u ɨ	c v v	0/n 0/n 0/n 0/n
21	Kyoto	ABOVE_MORPHEME1	u e	u e	0	- - u e	v v	0/n 0/n 0/n 0/n
22	Matsubara	ABOVE_MORPHEME1	ʔ w ɨː	ʔ w ɨː	0	ʔ w ɨː -	c c v	0/n 0/n 0/n 0/n
23	Mugiya	ABOVE_MORPHEME1	ʔ u i	ʔ u i	0	ʔ - u i	c v v	0/n 0/n 0/n 0/n
24	Nago	ABOVE_MORPHEME1	ʔ iː	ʔ iː	0	ʔ - iː -	c v	0/n 0/n 0/n 0/n
