DOCULECT	CHAR	PHONEME
Chabana	c100_1	a
Hateruma	c100_1	a
Hentona	c100_1	a
Hirara	c100_1	a
Ie	c100_1	a
Iheya	c100_1	a_LG_
Ikema	c100_1	a
Isen	c100_1	a
Ishigaki	c100_1	a
Ishikawa	c100_1	a
Itoman	c100_1	a
Izena	c100_1	a_LG_
Kagoshima	c100_1	a
Kametsu	c100_1	a
Koniya	c100_1	a
Kudaka	c100_1	a
Kuji-Oohama	c100_1	a
Kuroshima	c100_1	a
Kushi	c100_1	a
Kyoto	c100_1	a
Matsubara	c100_1	a
Mugiya	c100_1	a
Nago	c100_1	a_LG_
Naze	c100_1	a
Ohama	c100_1	a
Ongachi	c100_1	a
Ou	c100_1	a
Oura	c100_1	a
Ritchou	c100_1	a
Sakimotobu	c100_1	a
San	c100_1	a
Sani	c100_1	a
Sena	c100_1	a_LG_
Serikaku	c100_1	a_LG_
Shiomichi	c100_1	a
Shitooke	c100_1	a
Shuri	c100_1	a
Sonai	c100_1	a
Taketomi	c100_1	a
Tarama	c100_1	a
Tatsugo	c100_1	a
Uechi	c100_1	a
Uegusuku	c100_1	a
Wadomari	c100_1	a
Wan	c100_1	a
Yadon	c100_1	a
Yonaguni	c100_1	a
Yoro	c100_1	a
Yuwan	c100_1	a
Chabana	c101_1	p
Hateruma	c101_1	p
Hentona	c101_1	p_SL_
Hirara	c101_1	p
Ie	c101_1	p
Iheya	c101_1	h
Ikema	c101_1	h
Isen	c101_1	h
Ishigaki	c101_1	p
Ishikawa	c101_1	p_SL_
Itoman	c101_1	h
Izena	c101_1	p_SL_
Kagoshima	c101_1	h
Kametsu	c101_1	h
Keraji	c101_1	p_SL_
Koniya	c101_1	h
Kudaka	c101_1	p
Kuji-Oohama	c101_1	h
Kuroshima	c101_1	h
Kushi	c101_1	h
Kyoto	c101_1	h
Matsubara	c101_1	h
Mugiya	c101_1	p
Nago	c101_1	p
Naze	c101_1	h
Ohama	c101_1	h
Ongachi	c101_1	h
Ou	c101_1	h
Oura	c101_1	p
Ritchou	c101_1	p
Sakimotobu	c101_1	p_SL_
San	c101_1	h
Sani	c101_1	p
Sena	c101_1	h
Serikaku	c101_1	p_SL_
Shiomichi	c101_1	p
Shitooke	c101_1	h
Shuri	c101_1	h
Sonai	c101_1	p
Taketomi	c101_1	p
Tarama	c101_1	p
Tatsugo	c101_1	h
